stage	label	elapsed_s	peak_rss_kb	exit_status	recorded
04_run_msa	msa_8QIY_1	8.03	660676	0	2026-09-25T23:33:41+08:00
04_run_msa	msa_8K4I_1	7.04	539680	0	2026-09-25T23:33:56+08:00
04_run_msa	msa_8Q4E_1	15.98	505328	0	2026-09-25T23:34:18+08:00
04_run_msa	msa_8QX6_1	35.03	404668	0	2026-09-25T23:35:00+08:00
04_run_msa	msa_8R5N_1	45.29	403424	0	2026-09-25T23:35:52+08:00
04_run_msa	msa_27AA_1	110.65	525528	0	2026-09-25T23:37:49+08:00
04_run_msa	msa_8PAQ_1	6.45	333668	0	2026-09-25T23:38:02+08:00
04_run_msa	msa_10UX_1	82.24	332132	0	2026-09-25T23:39:32+08:00
04_run_msa	msa_8QZV_1	39.42	482172	0	2026-09-25T23:40:17+08:00
04_run_msa	msa_8R2C_1	7.99	417144	0	2026-09-25T23:40:32+08:00
04_run_msa	msa_26AO_1	133.48	749692	0	2026-09-25T23:42:52+08:00
04_run_msa	msa_26RW_1	6.29	400040	0	2026-09-25T23:43:05+08:00
04_run_msa	msa_8Q6U_1	111.81	504184	0	2026-09-25T23:45:03+08:00
04_run_msa	msa_8RDD_1	5.63	373652	0	2026-09-25T23:45:16+08:00
04_run_msa	msa_8RRY_1	7.30	464420	0	2026-09-25T23:45:29+08:00
04_run_msa	msa_8RHR_1	84.22	636584	0	2026-09-25T23:47:00+08:00
04_run_msa	msa_10FS_1	7.80	547160	0	2026-09-25T23:47:15+08:00
04_run_msa	msa_24MP_1	56.71	374164	0	2026-09-25T23:48:18+08:00
04_run_msa	msa_30JI_1	48.15	404904	0	2026-09-25T23:49:12+08:00
04_run_msa	msa_7HI9_1	68.44	459160	0	2026-09-25T23:50:27+08:00
04_run_msa	msa_21LR_1	155.69	510168	0	2026-09-25T23:53:09+08:00
04_run_msa	msa_8JQU_1	9.53	714480	0	2026-09-25T23:53:25+08:00
04_run_msa	msa_8K84_1	5.97	334380	0	2026-09-25T23:53:39+08:00
04_run_msa	msa_8QX5_1	6.30	386872	0	2026-09-25T23:53:52+08:00
04_run_msa	msa_8S48_1	43.10	677784	0	2026-09-25T23:54:41+08:00
04_run_msa	msa_10AF_1	96.33	857184	0	2026-09-25T23:56:24+08:00
04_run_msa	msa_10CX_1	59.37	334164	0	2026-09-25T23:57:32+08:00
04_run_msa	msa_8POR_1	6.97	670972	0	2026-09-25T23:57:45+08:00
04_run_msa	msa_8R3N_1	107.51	681408	0	2026-09-25T23:59:40+08:00
